form_number,PRN,CCATrank,DOB,10th_percentage,grad_percentage,pg_percentage,pre_ccat,DBMSTheory,DBMSLab,DBMSTotal,DBMSStatus,JavaTheory,JavaLab,JavaTotal,JavaStatus,PythonRTheory,PythonRLab,PythonRTotal,PythonRStatus,StatsTheory,StatsLab,StatsTotal,StatsStatus,DataVizTheory,DataVizLab,DataVizTotal,DataVizStatus,BigDataTheory,BigDataLab,BigDataTotal,BigDataStatus,LinuxCloudTheory,LinuxCloudLab,LinuxCloudTotal,LinuxCloudStatus,MLTheory,MLLab,MLTotal,MLStatus,Total,Percentage,Grade,Result,AptiGrade,ProjectGrade,Company_Name,Package,Higher_Edu_Percent,Is_Placed,branch_cleaned
210304041,2.10545E+11,3971,1996-09-14,72.4,70.97,,no,27,24,51,P,26,25,51,P,30,30,60,P,,,,,23,28,51,P,21,35,56,P,,,,,31,26,57,P,326,54.33333333,C,Pass,C,D,AQM TECHNOLOGIES,,59.48,Yes,Computer
210300482,2.10545E+11,3941,1997-06-18,63.2,64.36,,no,33,27,60,P,23,25,48,P,34,50,84,P,,,,,25,31,56,P,25,28,53,P,,,,,33,28,61,P,362,60.33333333,B,Pass,B,D,LEARNINGMATE,,62.15,Yes,Computer
210301188,2.10545E+11,3421,1998-01-23,70.2,63.37,,no,20,24,44,P,10,35,45,F,11,29,40,F,,,,,16,30,46,P,9,26,35,F,,,,,16,24,40,P,250,41.66666667,,Fail,B,Fail,,,75.0,No,Other
210301880,2.10545E+11,2937,1996-09-28,84.6,61.2,,no,35,24,59,P,16,24,40,P,28,26,54,P,,,,,31,36,67,P,23,19,42,F,,,,,34,28,62,P,324,54.0,,Fail,C,Fail,,,67.08,No,Computer
210301787,2.10545E+11,3843,1994-07-06,80.18,58.32,,no,19,33,52,P,16,31,47,P,16,37,53,P,,,,,16,42,58,P,18,36,54,P,,,,,26,25,51,P,315,52.5,C,Pass,B,B,MSCI,,64.67,Yes,Computer
210302616,2.10545E+11,4047,1997-11-20,74.8,71.8,,no,36,46,82,P,22,26,48,P,32,49,81,P,,,,,26,28,54,P,27,33,60,P,,,,,32,37,69,P,394,65.66666667,B,Pass,B,B,DRONA PAY,,66.45,Yes,Other
210303085,2.10545E+11,3771,1997-06-24,84.2,67.41,,no,21,28,49,P,16,38,54,P,18,49,67,P,,,,,19,44,63,P,16,43,59,P,,,,,20,46,66,P,358,59.66666667,C,Pass,A,B,CELEBAL TECHNOLOGIES,,75.35,Yes,Other
210303573,2.10545E+11,4321,1997-02-23,70.0,65.0,,no,16,24,40,P,19,24,43,P,20,39,59,P,,,,,24,29,53,P,11,24,35,F,,,,,18,28,46,P,276,46.0,,Fail,C,D,,,60.0,No,Other
210307972,2.10545E+11,3820,1994-08-25,88.2,57.0,,no,25,24,49,P,18,29,47,P,25,46,71,P,,,,,29,36,65,P,26,29,55,P,,,,,18,26,44,P,331,55.16666667,C,Pass,B,C,CELEBAL TECHNOLOGIES,,54.0,Yes,Computer
210302036,2.10545E+11,2399,1997-05-13,90.73,58.96,,no,23,42,65,P,16,49,65,P,19,49,68,P,,,,,25,42,67,P,21,39,60,P,,,,,17,45,62,P,387,64.5,B,Pass,B,C,BANK OF AMERICA,,,Yes,Other
